Paper Title,title,authors,school/organization_names,author_countries,conference,published_year,forensic_vs_anti
"Content triage with similarity digests: The M57 case study Vassil Roussev*, Candice Quates","```json
{
    ""title"": ""Content triage with similarity digests: The M57 case study""
}
```","```json
{
    ""authors"": ""Vassil Roussev, Candice Quates""
}
```","```json
{
    ""school_names"": [""University of New Orleans""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2012""
}
```","```json
{
    ""forensic_type"": ""Digital Forensic""
}
```"
Control Logic Forensics Framework using Built-in Decompiler of Engineering Software in Industrial Control Systems,"```json
{
    ""title"": ""Control Logic Forensics Framework using Built-in Decompiler of Engineering Software in Industrial Control Systems""
}
```","```json
{
    ""authors"": ""Syed Ali Qasim, Jared M. Smith, Irfan Ahmed""
}
```","```json
{
    ""school_names"": [
        ""Virginia Commonwealth University"",
        ""Oak Ridge National Laboratory""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Controlled experiments in digital evidence tampering Felix Freiling*, Leonhard H €osch","```json
{
    ""title"": ""Controlled experiments in digital evidence tampering""
}
```","```json
{
    ""authors"": "" Felix C. Freiling, Leonhard H €osch""
}
```","```json
{
    ""school_names"": [
        ""Friedrich-Alexander-University Erlangen-Nuremberg""
    ]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Cooperative mode: Comparative storage metadata veriﬁcation applied to the Xbox 360,"```json
{
    ""title"": ""Cooperative mode: Comparative storage metadata veriﬁcation applied to the Xbox 360""
}
```","```json
{
    ""authors"": ""Alex J. Nelson, Erik Q. Steggall, Darrell D. E. Long""
}
```","```json
{
    ""school_names"": [
        ""University of California"",
        ""Prometheus Computing, LLC""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2014""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
cRGB_Mem : At the intersection of memory forensics and machine learning,"```json
{
    ""title"": ""cRGB_Mem : At the intersection of memory forensics and machine learning""
}
```","```json
{
    ""authors"": ""Aisha Ali-Gombe, Sneha Sudhakaran, Ramyapandian Vijayakanthan, Golden G. Richard III""
}
```","```json
{
    ""school_names"": [
        ""Louisiana State University"",
        ""Florida Institute of Technology"",
        ""Towson University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"CuFA: A more formal de ﬁnition for digital forensic artifacts Vikram S. Harichandran, Daniel Walnycky, Ibrahim Baggili*, Frank Breitinger","```json
{
    ""title"": ""CuFA: A more formal de ﬁnition for digital forensic artifacts""
}
```","```json
{
    ""authors"": ""Vikram S. Harichandran, Daniel Walnycky, Ibrahim Baggili, Frank Breitinger""
}
```","```json
{
    ""school_names"": [
        ""University of New Haven""
    ]
}
```","```json
{
    ""author_countries"": [""USA"", ""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Cutting Through the Emissions: Feature Selection from Electromagnetic Side-Channel Data for Activity Detection,"```json
{
    ""title"": ""Cutting Through the Emissions: Feature Selection from Electromagnetic Side-Channel Data for Activity Detection""
}
```","```json
{
    ""authors"": ""Asanka Sayakkara, Luis Miralles-Pechu, Nhien-An Le-Khac, Mark Scanlon""
}
```","```json
{
    ""school_names"": [
        ""University College Dublin""
    ]
}
```","```json
{
    ""author_countries"": [""Ireland""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Cyber Grand Challenge (CGC) monitor: A vetting system for the DARPA cyber grand challenge,"```json
{
    ""title"": ""Cyber Grand Challenge (CGC) monitor: A vetting system for the DARPA cyber grand challenge""
}
```","```json
{
    ""authors"": ""Michael F. Thompson, Timothy Vidas""
}
```","```json
{
    ""school_names"": [
        ""Naval Postgraduate School"",
        ""Secureworks""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
extensible and scalable system for hash lookup and approximate similarity search with similarity digest algorithmsDaniel,"```json
{
    ""title"": ""Extensible and scalable system for hash lookup and approximate similarity search with similarity digest algorithms""
}
```","```json
{
    ""authors"": ""Daniel Huici, Ricardo J. Rodríguez, Eduardo Mena""
}
```","```json
{
    ""school_names"": [
        ""Universidad de Zaragoza"",
        ""Aragón Institute of Engineering Research (I3A)""
    ]
}
```","```json
{
    ""author_countries"": [""USA"", ""Spain""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2025""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Dashcam forensic investigation guidelines Harjinder Singh Lallie,"```json
{
    ""title"": ""Dashcam forensic investigation guidelines""
}
```","```json
{
    ""authors"": ""Harjinder Singh Lallie""
}
```","```json
{
    ""school_names"": [""WMG, University of Warwick""]
}
```","```json
{
    ""author_countries"": [""UK""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Data-driven approach for automatic telephony threat analysis and campaign detection,"```json
{
    ""title"": ""Data-driven approach for automatic telephony threat analysis and campaign detection""
}
```","```json
{
    ""authors"": ""Houssem Eddine Bordjiba, ElMouatez Billah Karbab, Mourad Debbabi""
}
```","```json
{
    ""school_names"": [""Concordia University, Canada""]
}
```","```json
{
    ""author_countries"": [""Canada""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Data remnants analysis of document files in Windows: Microsoft 365 as a case study,"```json
{
    ""title"": ""Data remnants analysis of document files in Windows: Microsoft 365 as a case study""
}
```","```json
{
    ""authors"": ""Jihun Joun, Sangjin Lee, Jungheum Park""
}
```","```json
{
    ""school_names"": [""Korea University""]
}
```","```json
{
    ""author_countries"": [""South Korea""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Database forensic analysis through internal structure carving James Wagnera, Alexander Rasina,*, Jonathan Grierb","```json
{
    ""title"": ""Database forensic analysis through internal structure carving""
}
```","```json
{
    ""authors"": ""James Wagner, Alexander Rasina, Jonathan Grier""
}
```","```json
{
    ""school_names"": [""DePaul University"", ""Grier Forensics""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2015""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Database image content explorer: Carving data that does not ofﬁcially exist,"```json
{
    ""title"": ""Database image content explorer: Carving data that does not ofﬁcially exist""
}
```","```json
{
    ""authors"": ""James Wagner, Alexander Rasin, Jonathan Grier""
}
```","```json
{
    ""school_names"": [""DePaul University"", ""Grier Forensics""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Database memory forensics: A machine learning approach to reverse- engineer query activity,"```json
{
    ""title"": ""Database memory forensics: A machine learning approach to reverse-engineer query activity""
}
```","```json
{
    ""authors"": ""Mahfuzul I. Nissan, James Wagner, Sharmin Aktar""
}
```","```json
{
    ""school_names"": [""University of New Orleans""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Database memory forensics: Identifying cache patterns for log veriﬁcation,"```json
{
    ""title"": ""Database memory forensics: Identifying cache patterns for log veriﬁcation""
}
```","```json
{
    ""authors"": ""James Wagner, Mahfuzul I. Nissan, Alexander Rasin""
}
```","```json
{
    ""school_names"": [
        ""University of New Orleans"",
        ""DePaul University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Digital Forensic""
}
```"
DB3F &DF-Toolkit: The Database Forensic File Format and the Database Forensic Toolkit,"```json
{
    ""title"": ""DB3F &DF-Toolkit: The Database Forensic File Format and the Database Forensic Toolkit""
}
```","```json
{
    ""authors"": ""James Wagner, Alexander Rasin, Karen Heart, Rebecca Jacob, Jonathan Grier""
}
```","```json
{
    ""school_names"": [""DePaul University"", ""Grier Forensics""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
dbling: Identifying extensions installed on encrypted web thin clients,"```json
{
    ""title"": ""dbling: Identifying extensions installed on encrypted web thin clients""
}
```","```json
{
    ""authors"": ""Mike Mabey, Adam Doup, Ziming Zhao, Gail-Joon Ahn""
}
```","```json
{
    ""school_names"": [""Arizona State University""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Full Paper Dead Man's Switch: Forensic Autopsy of the Nintendo Switch,"```json
{
    ""title"": ""Dead Man's Switch: Forensic Autopsy of the Nintendo Switch""
}
```","```json
{
    ""authors"": ""Frederick Barr-Smith, Thomas Farrant, Benjamin Leonard-Lagarde, Danny Rigby, Sash Rigby, Frederick Sibley-Caldera""
}
```","```json
{
    ""school_names"": [
        ""Modux Limited, Bristol, UK"",
        ""University of Oxford, Oxford, UK""
    ]
}
```","```json
{
    ""author_countries"": [""UK""]
}
```","```json
{
    ""conference"": ""DFRWS EU""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Decrypting IndexedDB in private mode of Gecko-based browsers Dohun Kim, Sangjin Lee, Jungheum Park*","```json
{
    ""title"": ""Decrypting IndexedDB in private mode of Gecko-based browsers""
}
```","```json
{
    ""authors"": ""Dohun Kim, Sangjin Lee, Jungheum Park""
}
```","```json
{
    ""school_names"": [""Korea University""]
}
```","```json
{
    ""author_countries"": [""South Korea""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Deep learning at the shallow end: Malware classi ﬁcation for non-domain experts,"```json
{
    ""title"": ""Deep learning at the shallow end: Malware classi ﬁcation for non-domain experts""
}
```","```json
{
    ""authors"": ""Quan Le, Oisín Boydell, Brian Mac Namee, Mark Scanlon""
}
```","```json
{
    ""school_names"": [
        ""University College Dublin"",
        ""Centre for Applied Data Analytics Research""
    ]
}
```","```json
{
    ""author_countries"": [""Ireland""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Deepfake noise investigation and detection Tianyi Wanga, Ming Liub, Wei Caob, Kam Pui Chowa,*","```json
{
    ""title"": ""Deepfake noise investigation and detection""
}
```","```json
{
    ""authors"": ""Tianyi Wang, Ming Liu, Wei Cao, Kam Pui Chow""
}
```","```json
{
    ""school_names"": [
        ""The University of Hong Kong"",
        ""Shandong Artificial Intelligence Institute"",
        ""Qilu University of Technology"",
        ""Shandong Academy of Sciences""
    ]
}
```","```json
{
    ""author_countries"": [""Hong Kong, China"", ""China""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2022""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
DeepUAge: Improving Underage Age Estimation Accuracy to Aid CSEM Investigation,"```json
{
    ""title"": ""DeepUAge: Improving Underage Age Estimation Accuracy to Aid CSEM Investigation""
}
```","```json
{
    ""authors"": ""Felix Anda, Nhien-An Le-Khac, Mark Scanlon""
}
```","```json
{
    ""school_names"": [""University College Dublin"", ""MITRE Corporation""]
}
```","```json
{
    ""author_countries"": [""Ireland""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Deleted ﬁle fragment dating by analysis of allocated neighbors Ahmed A. Bahjat*, Jim Jones","```json
{
    ""title"": ""Deleted ﬁle fragment dating by analysis of allocated neighbors""
}
```","```json
{
    ""authors"": ""Ahmed A. Bahjat, Jim Jones""
}
```","```json
{
    ""school_names"": [""George Mason University""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Deleting collected digital evidence by exploiting a widely adopted hardware write blocker,"```json
{
    ""title"": ""Deleting collected digital evidence by exploiting a widely adopted hardware write blocker""
}
```","```json
{
    ""authors"": ""Christopher S. Meffert, Ibrahim Baggili, Frank Breitinger""
}
```","```json
{
    ""school_names"": [
        ""University of New Haven""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Design and implementation of FROST: Digital forensic tools for the OpenStack cloud computing platform,"```json
{
    ""title"": ""Design and implementation of FROST: Digital forensic tools for the OpenStack cloud computing platform""
}
```","```json
{
    ""authors"": ""Josiah Dykstra, Alan T. Sherman""
}
```","```json
{
    ""school_names"": [
        ""University of Maryland, Baltimore County""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2013""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Design tradeoffs for developing fragmented video carving tools,"```json
{
    ""title"": ""Design tradeoffs for developing fragmented video carving tools""
}
```","```json
{
    ""authors"": ""Eoghan Casey, Rikkert Zoun""
}
```","```json
{
    ""school_names"": [
        ""Defense Cyber Crime Center (DC3)"",
        ""Netherlands Forensic Institute (NFI)""
    ]
}
```","```json
{
    ""author_countries"": [""USA"", ""Netherlands""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2014""
}
```","```json
{
    ""forensic_type"": ""Digital Forensic""
}
```"
"Philipp Amanna,*, Joshua I. Jamesb aEuropean Cybercrime Centre (EC3), Europol, P.O. Box 908 50, 2509 LW, The Hague, The Netherlands","```json
{
    ""title"": ""Designing robustness and resilience in digital investigation laboratories""
}
```","```json
{
    ""authors"": ""Philipp Amanna, Joshua I. James""
}
```","```json
{
    ""school_names"": [
        ""European Cybercrime Centre (EC3), Europol"",
        ""SoonChunHyang University""
    ]
}
```","```json
{
    ""author_countries"": [""Netherlands"", ""South Korea""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2015""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Detecting data theft using stochastic forensics Jonathan Grier *,"```json
{
    ""title"": ""Detecting data theft using stochastic forensics""
}
```","```json
{
    ""authors"": ""Jonathan Grier""
}
```","```json
{
    ""school_names"": [""Vesaria, LLC""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2011""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Detecting false captioning using common-sense reasoning Sangwon Lee, David A. Shamma, Bruce Gooch *","```json
{
    ""title"": ""Detecting false captioning using common-sense reasoning""
}
```","```json
{
    ""authors"": ""Sangwon Lee, David A. Shamma, Bruce Gooch""
}
```","```json
{
    ""school_names"": [
        ""Northwestern University"",
        ""Carnegie Mellon University"",
        ""Seoul National University"",
        ""University of West Florida""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2006""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Detecting file fragmentation point using sequential hypothesis testing,"```json
{
    ""title"": ""Detecting ﬁle fragmentation point using sequential hypothesis testing""
}
```","```json
{
    ""authors"": ""Anandabrata Pal, Husrev T. Sencar, Nasir Memon""
}
```","```json
{
    ""school_names"": [
        ""Polytechnic University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2008""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Detecting objective-C malware through memory forensics Andrew Casea, Golden G. Richard IIIb,*","```json
{
    ""title"": ""Detecting objective-C malware through memory forensics""
}
```","```json
{
    ""authors"": ""Andrew Case, Golden G. Richard III""
}
```","```json
{
    ""school_names"": [""Volexity"", ""University of New Orleans""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Detecting very large sets of referenced ﬁles at 40/100 GbE, especially MP4 ﬁles","```json
{
    ""title"": ""Detecting very large sets of referenced ﬁles at 40/100 GbE, especially MP4 ﬁles""
}
```","```json
{
    ""authors"": ""A. Larbanet, J. Lerebours, J.P. David""
}
```","```json
{
    ""school_names"": [
        ""Ecole Polytechnique de Montreal"",
        ""University of Montreal""
    ]
}
```","```json
{
    ""author_countries"": [""Canada""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2015""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Developing a new digital forensics curriculum* Anthony Langa, Masooda Bashirb,*, Roy Campbella, Lizanne DeStefanoc","```json
{
    ""title"": ""Developing a new digital forensics curriculum""
}
```","```json
{
    ""authors"": ""Anthony Langa, Masooda Bashirb, Roy Campbella, Lizanne DeStefanoc""
}
```","```json
{
    ""school_names"": [
        ""University of Illinois at Urbana-Champaign"",
        ""Graduate School of Library and Information Science"",
        ""Illinois Science, Technology, Engineering, and Mathematics Education Initiative""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2014""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Extended Abstract Developing an IoT forensic methodology. A concept proposal,"```json
{
    ""title"": ""Extended Abstract Developing an IoT forensic methodology. A concept proposal""
}
```","```json
{
    ""authors"": ""Juan Manuel Castelo G /C19omez, Javier Carrillo Mond /C19ejar, Jos /C19e Rold /C19an G /C19omez, Jos /C19e Martínez Martínez""
}
```","```json
{
    ""school_names"": [
        ""Universidad de Castilla-La Mancha""
    ]
}
```","```json
{
    ""author_countries"": [""Spain""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
DEX: Digital evidence provenance supporting reproducibility and comparison,"```json
{
    ""title"": ""DEX: Digital evidence provenance supporting reproducibility and comparison""
}
```","```json
{
    ""authors"": ""Brian Neil Levine, Marc Liberatore""
}
```","```json
{
    ""school_names"": [
        ""University of Massachusetts, Amherst"",
        ""University of California, Santa Cruz"",
        ""Wesleyan University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2009""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
DFRWS EU 10-year review and future directions in Digital Forensic Research,"```json
{
    ""title"": ""DFRWS EU 10-year review and future directions in Digital Forensic Research""
}
```","```json
{
    ""authors"": ""Frank Breitinger, Jan-Niclas Hilgert, Christopher Hargreaves, John Sheppard, Rebekah Overdorf, Mark Scanlon""
}
```","```json
{
    ""school_names"": [
        ""University of Lausanne"",
        ""Fraunhofer FKIE"",
        ""University of Oxford"",
        ""South East Technological University"",
        ""University College Dublin""
    ]
}
```","```json
{
    ""author_countries"": [""Switzerland"", ""Germany"", ""United Kingdom"", ""Ireland""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
DiagAnalyzer: User behavior analysis and visualization using Windows Diagnostics logs,"```json
{
    ""title"": ""DiagAnalyzer: User behavior analysis and visualization using Windows Diagnostics logs""
}
```","```json
{
    ""authors"": ""Sungha Park, Sangjin Lee""
}
```","```json
{
    ""school_names"": [
        ""School of Law, Seoul National University"",
        ""Korea University""
    ]
}
```","```json
{
    ""author_countries"": [""South Korea""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2022""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"DIALOG: A framework for modeling, analysis and reuse of digital forensic knowledge","```json
{
    ""title"": ""DIALOG: A framework for modeling, analysis and reuse of digital forensic knowledge""
}
```","```json
{
    ""authors"": ""Damir Kahved /C20zic´, Tahar Kechadi""
}
```","```json
{
    ""school_names"": [
        ""University College Dublin""
    ]
}
```","```json
{
    ""author_countries"": [""Ireland""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2009""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Different interpretations of ISO9660 ﬁle systems Brian D. Carrier,"```json
{
    ""title"": ""Different interpretations of ISO9660 ﬁle systems""
}
```","```json
{
    ""authors"": ""Brian D. Carrier""
}
```","```json
{
    ""school_names"": [""Basis Technology""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2010""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Digital evidence, ‘absence ’of data and ambiguous patterns of reasoning*","```json
{
    ""title"": ""Digital evidence, ‘absence ’of data and ambiguous patterns of reasoning*""
}
```","```json
{
    ""authors"": ""Alex Biedermann, Joëlle Vuille""
}
```","```json
{
    ""school_names"": [
        ""University of Lausanne, School of Criminal Justice"",
        ""University of Neuchâtel, Faculty of Law"",
        ""University of Adelaide Law School"",
        ""University of Nottingham School of Law""
    ]
}
```","```json
{
    ""author_countries"": [""Switzerland""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Jusop Choia, Jaegwan Yub, Sangwon Hyunc, Hyoungshick Kima,* aSungkyunkwan University, Republic of Korea","```json
{
    ""title"": ""Digital forensic analysis of encrypted database ﬁles in instant messaging applications on Windows operating systems: Casestudy with KakaoTalk, NateOn and QQ messenger""
}
```","```json
{
    ""authors"": ""Jusop Choi, Jaegwan Yu, Sangwon Hyun, Hyoungshick Kim""
}
```","```json
{
    ""school_names"": [
        ""Sungkyunkwan University, Republic of Korea"",
        ""LIGNEX1 Co., Ltd, Republic of Korea"",
        ""Chosun University, Republic of Korea""
    ]
}
```","```json
{
    ""author_countries"": [""Republic of Korea""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Digital forensic analysis of mobile automotive maintenance applications,"```json
{
    ""title"": ""Digital forensic analysis of mobile automotive maintenance applications""
}
```","```json
{
    ""authors"": ""Faisal Sumaila, Hayretdin Bahsi""
}
```","```json
{
    ""school_names"": [
        ""Tallinn University of Technology""
    ]
}
```","```json
{
    ""author_countries"": [""Estonia""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2022""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Digital forensic approaches for Amazon Alexa ecosystem Hyunji Chung, Jungheum Park, Sangjin Lee*","```json
{
    ""title"": ""Digital forensic approaches for Amazon Alexa ecosystem""
}
```","```json
{
    ""authors"": ""Hyunji Chung, Jungheum Park, Sangjin Lee""
}
```","```json
{
    ""school_names"": [
        ""Korea University""
    ]
}
```","```json
{
    ""author_countries"": [""South Korea"", ""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Digital forensic approaches for metaverse ecosystems Donghyun Kima, Subin Ohb, Taeshik Shona,b,*","```json
{
    ""title"": ""Digital forensic approaches for metaverse ecosystems""
}
```","```json
{
    ""authors"": ""Donghyun Kim, Subin Oh, Taeshik Shon""
}
```","```json
{
    ""school_names"": [""Ajou University""]
}
```","```json
{
    ""author_countries"": [""South Korea""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Digital forensic implications of ZFS Nicole Lang Beebe *, Sonia D. Stacy, Dane Stuckey","```json
{
    ""title"": ""Digital forensic implications of ZFS""
}
```","```json
{
    ""authors"": ""Nicole Lang Beebe, Sonia D. Stacy, Dane Stuckey""
}
```","```json
{
    ""school_names"": [
        ""The University of Texas at San Antonio""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2009""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Digital forensic investigation of two-way radio communication equipment and services,"```json
{
    ""title"": ""Digital forensic investigation of two-way radio communication equipment and services""
}
```","```json
{
    ""authors"": ""Arie Kouwen, Mark Scanlon, Kim-Kwang Raymond Choo, Nhien-An Le-Khac""
}
```","```json
{
    ""school_names"": [
        ""University College Dublin"",
        ""University of Texas at San Antonio""
    ]
}
```","```json
{
    ""author_countries"": [""Ireland"", ""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Digital Forensic Practices and Methodologies for AI Speaker Ecosystems,"```json
{
    ""title"": ""Digital Forensic Practices and Methodologies for AI Speaker Ecosystems""
}
```","```json
{
    ""authors"": ""Wooyeon Joa, Yeonghun Shina, Hyungchan Kimb, Dongkyun Yooa, Donghyun Kimb, Cheulhoon Kangc, Jongmin Jinc, Jungkyung Ohc, Bitna Nac, Taeshik Shona,b,*""
}
```","```json
{
    ""school_names"": [
        ""Ajou University"",
        ""Supreme Prosecutor's Office""
    ]
}
```","```json
{
    ""author_countries"": [""South Korea""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
